alpha,V0,kz,tier,xi_sponge,n_pts,amp0_log,gamma_r2,r2,t0,t1,gamma_plateau,plateau_t0,plateau_t1,has_plateau,gamma_sim,src,gamma_chased,ratio,rel_err
2.6,0.01,1.0,int,18.0,101,-13.602766802427135,0.044304695889275186,0.9999922663801768,72.92176621375616,85.90783416963055,0.043959855470383134,71.92283790945814,90.9024756911207,True,0.043959855470383134,t126/ym_k1_a2.600_circ_az2seed_v0.0100_sp18.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0375706135298069,1.1700595582637288,0.17005955826372873
2.7,0.01,1.0,int,14.0,101,-13.621637028689356,0.04269967412020978,0.9999927367720498,74.91962282235222,87.90569077822661,0.04235678906956385,74.91962282235222,93.89926060401478,True,0.04235678906956385,abi/ym_k1_a2.700_circ_az2seed_v0.0100_sp14.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0358632135406126,1.1810650772161764,0.18106507721617646
2.8,0.01,1.0,int,14.0,101,-13.63982083775087,0.04289884548207558,0.9999932715822231,74.91962282235222,87.90569077822661,0.042595773397415354,73.92069451805419,92.90033229971677,True,0.042595773397415354,t140/ym_k1_a2.800_circ_az2seed_v0.0100_sp14.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0361283937534139,1.1790109930749502,0.17901099307495025
2.9,0.01,1.0,int,14.0,101,-13.657366509096414,0.04308334431522119,0.9999929103095275,74.91962282235222,87.90569077822661,0.04275678430540161,73.92069451805419,92.90033229971677,True,0.04275678430540161,t126/ym_k1_a2.900_circ_az2seed_v0.0100_sp14.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0363821642391819,1.175212778006058,0.17521277800605786
3.0,0.01,1.0,int,14.0,101,-13.674317197142052,0.04325636307429074,0.999992407151437,73.92069451805419,86.90676247392858,0.04290179117596662,73.92069451805419,92.90033229971677,True,0.04290179117596662,t140/ym_k1_a3.000_circ_az2seed_v0.0100_sp14.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0366250963915856,1.171376880958136,0.17137688095813589
2.2,0.01,2.0,int,22.0,101,-13.865813310984437,0.05737894645672014,0.9999754660168622,53.9421284320936,66.92819638796799,0.05727820893489885,55.939985040689656,67.92712469226602,True,0.05727820893489885,t132/ym_k2_a2.200_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0490754000411587,1.167147061192789,0.16714706119278894
2.3,0.01,2.0,int,22.0,101,-13.888039200449276,0.05769211204247228,0.9999721038681917,53.9421284320936,66.92819638796799,0.05756552138973717,53.9421284320936,67.92712469226602,True,0.05756552138973717,t130/ym_k2_a2.300_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0496035178671791,1.1605128802331628,0.16051288023316276
2.4,0.01,2.0,int,22.0,101,-13.909319123293388,0.058026340109588084,0.9999745478003645,52.94320012779557,65.92926808366995,0.057829479205630654,54.94105673639163,67.92712469226602,True,0.057829479205630654,abi/ym_k2_a2.400_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.050110730691424,1.154033844801382,0.154033844801382
2.5,0.01,2.0,int,22.0,101,-13.92973005705357,0.0583262056687213,0.9999754857621626,52.94320012779557,65.92926808366995,0.05822867534768088,54.94105673639163,66.92819638796799,True,0.05822867534768088,t126/ym_k2_a2.500_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0505985168992575,1.150798065160984,0.15079806516098396
2.6,0.01,2.0,int,22.0,101,-13.949340442470453,0.058604269004205733,0.9999727578497561,52.94320012779557,65.92926808366995,0.0584790326566181,52.94320012779557,66.92819638796799,True,0.0584790326566181,abi/ym_k2_a2.600_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0510681953731909,1.1451164903962447,0.14511649039624464
