kz,alpha,V0,eps,xi_sponge,gamma_chased
3.0,2.3,0.03,0.15,18.0,0.11758983582780444
3.0,2.9,0.03,0.15,14.0,0.12307014292887204
2.0,1.2,0.05,0.15,14.0,0.12321469142717213
2.0,1.4,0.03,0.15,11.0,0.08677173554972697
2.0,1.8,0.05,0.15,8.0,0.12175329942422002
2.0,2.5,0.01,0.15,22.0,0.050598516899257505
1.0,1.0,0.05,0.15,14.0,0.086566632946054
1.0,1.8,0.03,0.15,8.0,0.059254525119297845
1.0,2.6,0.01,0.15,18.0,0.03757061352980697
1.0,2.9,0.01,0.15,14.0,0.03638216423918194
1.0,2.8,0.03,0.15,8.0,0.063963253398354
2.0,1.1,0.05,0.15,12.0,0.11729283058350783
2.0,1.9,0.03,0.15,14.0,0.09780639104935361
2.0,1.9,0.05,0.15,8.0,0.12352129375367676
3.0,1.9,0.05,0.15,14.0,0.15481025228822495
4.0,1.7,0.05,0.15,8.0,0.14296773367154514
4.0,2.4,0.03,0.15,8.0,0.11518673299901923
4.0,2.5,0.03,0.15,22.0,0.12704940622372193
4.0,2.6,0.03,0.15,8.0,0.11823454401147022
5.0,2.1,0.03,0.15,8.0,0.11277479139125356
5.0,2.9,0.03,0.15,8.0,0.1264786567928586
6.0,3.0,0.02,0.15,8.0,0.09939868984651216
2.0,2.3,0.01,0.15,22.0,0.04960351786717914
2.0,2.3,0.03,0.15,10.0,0.09679694902789257
2.0,2.5,0.03,0.15,10.0,0.09878154471250884
3.0,1.6,0.03,0.15,8.0,0.09498537237633331
8.0,2.9,0.03,0.15,8.0,0.12480551923546139
1.0,1.2,0.03,0.15,10.0,0.05865471190800872
1.0,1.3,0.03,0.15,10.0,0.05971772653787923
1.0,1.4,0.03,0.15,10.0,0.060682927879077225
1.0,1.7,0.01,0.15,22.0,0.03559658767280225
1.0,1.8,0.05,0.15,6.0,0.07473955676474232
1.0,1.9,0.01,0.15,22.0,0.03641357727935547
1.0,2.5,0.01,0.15,18.0,0.037294860591776766
4.0,2.7,0.03,0.15,8.0,0.11968490337475178
5.0,2.3,0.03,0.15,8.0,0.11654715381423893
5.0,2.8,0.03,0.15,8.0,0.12494662984736402
6.0,2.2,0.03,0.15,8.0,0.11484835278749465
3.0,2.7,0.03,0.15,14.0,0.12081285988626689
3.0,2.8,0.03,0.15,14.0,0.12196291340784085
4.0,1.9,0.03,0.15,8.0,0.10652471445720817
4.0,2.3,0.03,0.15,8.0,0.11358229975904405
6.0,2.4,0.03,0.15,8.0,0.11876270269802705
6.0,2.7,0.03,0.15,8.0,0.12419259606183257
1.0,1.1,0.03,0.15,10.0,0.057481672038868045
1.0,1.1,0.05,0.15,9.0,0.07862584602493339
1.0,2.2,0.01,0.15,18.0,0.03637313455191622
1.0,2.2,0.03,0.15,8.0,0.061626667902242055
1.0,2.4,0.03,0.15,8.0,0.06255261262435141
2.0,1.8,0.03,0.15,14.0,0.0965386549557471
7.0,2.5,0.03,0.15,8.0,0.1194659496087172
8.0,2.6,0.03,0.15,8.0,0.11923016413351004
8.0,2.7,0.03,0.15,8.0,0.12113641436163639
1.0,0.9,0.03,0.15,14.0,0.0607139846252954
3.0,2.2,0.03,0.15,18.0,0.11622326868652215
3.0,2.8,0.01,0.15,22.0,0.05814953262947058
3.0,2.9,0.01,0.15,22.0,0.058676580955064964
3.0,3.0,0.01,0.15,22.0,0.0591877180903172
2.0,2.2,0.01,0.15,22.0,0.049075400041158776
2.0,2.7,0.03,0.15,8.0,0.095343504541272
2.0,2.8,0.01,0.15,22.0,0.05195783978327643
3.0,2.7,0.01,0.15,22.0,0.05760556096515405
4.0,1.8,0.03,0.15,8.0,0.10457207268355163
4.0,2.1,0.03,0.15,8.0,0.11019169715868399
4.0,2.9,0.03,0.15,8.0,0.12245343958415662
7.0,2.3,0.03,0.15,8.0,0.11549228713000198
1.0,1.5,0.03,0.15,8.0,0.05691994781849442
